LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
4486;50;*Bez*;*Bez*;07612;3322937241712;GDB1330(571906);DISK PLOČICE VW, PASAT, ŠKODA, PEUGEOT ;;;;;KOM;5,00;25,35;38,00;44,46;;0,00;;D
4492;50;*Bez*;*Bez*;07618;3322937242023;GDB1354(571998);DISK PLOČICE ZAD FORD FOCUS 98- ;;;;;KOM;1,00;22,00;38,00;44,46;;0,00;;D
4494;50;*Bez*;*Bez*;07620;3322937320455;GDB1515(573122J);DISK PLOČICE ZAD OPEL ASTRA G,ZAFIRA 01- ;;;;;KOM;1,00;28,28;43,00;50,31;;0,00;;D
4500;50;*Bez*;*Bez*;07630;3322937334520;GDB1530,GDB1304(571918);DISK PLOČICE ZADNJE BMW X3,X5 ;;;;;KOM;1,00;44,49;58,00;67,86;;0,00;;D
4507;50;*Bez*;*Bez*;07639;3322937334612;GDB1546(571989);DISK PLOČICE ZD. MERC.211 2002- ;;;;;KOM;1,00;45,10;69,38;81,17;;0,00;;D
4542;50;*Bez*;*Bez*;06875;1112303;524002379;ČAHURA TRAPA MERC. ;;;;;KOM;4,00;7,00;8,40;9,83;;0,00;;D
4567;50;*Bez*;*Bez*;07146;4026634207673;70-31414-10;DIHT MASA VIKTOR REINZ 70ML ;;;;;KOM;17,00;9,2505;13,68;16,01;;0,00;;D
4620;50;*Bez*;*Bez*;08427;4011558714703;W1114/80;FILTER ULJA ;;;;;KOM;1,00;15,00;18,80;22,00;;0,00;;D
4628;50;*Bez*;*Bez*;08438;4011558705206;W724/1;FILTER ULJA ;;;;;KOM;1,00;9,00;12,00;14,04;;0,00;;D
4643;50;*Bez*;*Bez*;08630;4011558137809;C33130;FILTER ZRAKA ;;;;;KOM;1,00;15,00;19,99;23,39;;0,00;;D
4713;50;*Bez*;*Bez*;08075;4011558284305;H2826;FILTER AUT GETRIBE ;;;;;KOM;1,00;40,00;44,00;51,48;;0,00;;D
4716;50;*Bez*;*Bez*;08084;8012658003809;FC1027;FILTER FIAAM FC1027 ;;;;;KOM;1,00;4,00;4,29;5,02;;0,00;;D
4731;50;*Bez*;*Bez*;08285;4011558291402;HU951X;FILTER MANN HU951X ;;;;;KOM;1,00;10,65;17,17;20,09;;0,00;;D
4740;50;*Bez*;*Bez*;08298;4011558717902;W730/1;FILTER ULJA ;;;;;KOM;1,00;11,50;17,60;20,59;;0,00;;D
4741;50;*Bez*;*Bez*;08300;4011558702908;W713/16;FILTER ULJA ;;;;;KOM;1,00;6,50;9,60;11,23;;0,00;;D
4743;50;*Bez*;*Bez*;08302;4011558703806;W719/5;FILTER ULJA ;;;;;KOM;1,00;8,05;12,99;15,20;;0,00;;D
4810;50;*Bez*;*Bez*;09921;3850143249135;10W40;INA DELTA SINT 1/1 10W-40 ;;;;;KOM;1,00;5,624;7,26;8,49;;0,00;;D
4822;50;*Bez*;*Bez*;09936;3850143113139;HIP 140;INA HIPENOL 140  1/1 ;;;;;KOM;5,00;5,00;6,84;8,00;;0,00;;D
4829;50;*Bez*;*Bez*;09951;3850143764720;;INA LIS 2  4/1 ;;;;;KOM;4,00;25,835;30,03;35,14;;0,00;;D
4835;50;*Bez*;*Bez*;09962;3858881270435;15W40;INA SUPER 5 15W-40 5/1 ;;;;;KOM;1,00;23,265;32,48;38,00;;0,00;;D
